,0,1
0,uniform_m0.1-m0.1,-79858526
1,uniform_m0.1-m1,-482764128
2,uniform_m0.1-m10,-2080786032
3,uniform_m0.1-m20,-2080786001
4,uniform_m0.1-m50,-2080785908
5,uniform_m0.1-p0.1,-79769153
6,uniform_m0.1-p1,-482764035
7,uniform_m0.1-p10,-2080783149
8,uniform_m0.1-p20,-2080783118
9,uniform_m0.1-p50,-2080783025
10,uniform_m0.1-uniform,687813112
11,uniform_m0.1-reduced,2058424322
12,uniform_m1-m0.1,-453270108
13,uniform_m1-m1,1903436834
14,uniform_m1-m10,-1123000242
15,uniform_m1-m20,-1123000211
16,uniform_m1-m50,-1123000118
17,uniform_m1-p0.1,-453180735
18,uniform_m1-p1,1903436927
19,uniform_m1-p10,-1122997359
20,uniform_m1-p20,-1122997328
21,uniform_m1-p50,-1122997235
22,uniform_m1-uniform,348670390
23,uniform_m1-reduced,1719281600
24,uniform_m10-m0.1,-1137870222
25,uniform_m10-m1,-1122970512
26,uniform_m10-m10,-452347456
27,uniform_m10-m20,-452347425
28,uniform_m10-m50,-452347332
29,uniform_m10-p0.1,-1137780849
30,uniform_m10-p1,-1122970419
31,uniform_m10-p10,-452344573
32,uniform_m10-p20,-452344542
33,uniform_m10-p50,-452344449
34,uniform_m10-uniform,-2068604376
35,uniform_m10-reduced,-697993166
36,uniform_m20-m0.1,-250366541
37,uniform_m20-m1,-1122046991
38,uniform_m20-m10,-423718305
39,uniform_m20-m20,-423718274
40,uniform_m20-m50,-423718181
41,uniform_m20-p0.1,-250277168
42,uniform_m20-p1,-1122046898
43,uniform_m20-p10,-423715422
44,uniform_m20-p20,-423715391
45,uniform_m20-p50,-423715298
46,uniform_m20-uniform,2029849415
47,uniform_m20-reduced,-894506671
48,uniform_m50-m0.1,-1882822794
49,uniform_m50-m1,-1119276428
50,uniform_m50-m10,-337830852
51,uniform_m50-m20,-337830821
52,uniform_m50-m50,-337830728
53,uniform_m50-p0.1,-1882733421
54,uniform_m50-p1,-1119276335
55,uniform_m50-p10,-337827969
56,uniform_m50-p20,-337827938
57,uniform_m50-p50,-337827845
58,uniform_m50-uniform,1440308900
59,uniform_m50-reduced,-1484047186
60,uniform_p0.1-m0.1,-1207254619
61,uniform_p0.1-m1,-2115220381
62,uniform_p0.1-m10,-1147322323
63,uniform_p0.1-m20,-1147322292
64,uniform_p0.1-m50,-1147322199
65,uniform_p0.1-p0.1,-1207165246
66,uniform_p0.1-p1,-2115220288
67,uniform_p0.1-p10,-1147319440
68,uniform_p0.1-p20,-1147319409
69,uniform_p0.1-p50,-1147319316
70,uniform_p0.1-uniform,1075061269
71,uniform_p0.1-reduced,-1849294817
72,uniform_p1-m0.1,-2085726361
73,uniform_p1-m1,1906207397
74,uniform_p1-m10,-1037112789
75,uniform_p1-m20,-1037112758
76,uniform_p1-m50,-1037112665
77,uniform_p1-p0.1,-2085636988
78,uniform_p1-p1,1906207490
79,uniform_p1-p10,-1037109906
80,uniform_p1-p20,-1037109875
81,uniform_p1-p50,-1037109782
82,uniform_p1-uniform,-240870125
83,uniform_p1-reduced,1129741085
84,uniform_p10-m0.1,-204406513
85,uniform_p10-m1,-1037083059
86,uniform_p10-m10,-2084803709
87,uniform_p10-m20,-2084803678
88,uniform_p10-m50,-2084803585
89,uniform_p10-p0.1,-204317140
90,uniform_p10-p1,-1037082966
91,uniform_p10-p10,-2084800826
92,uniform_p10-p20,-2084800795
93,uniform_p10-p50,-2084800702
94,uniform_p10-uniform,1130476139
95,uniform_p10-reduced,-1793879947
96,uniform_p20-m0.1,683097168
97,uniform_p20-m1,-1036159538
98,uniform_p20-m10,-2056174558
99,uniform_p20-m20,-2056174527
100,uniform_p20-m50,-2056174434
101,uniform_p20-p0.1,683186541
102,uniform_p20-p1,-1036159445
103,uniform_p20-p10,-2056171675
104,uniform_p20-p20,-2056171644
105,uniform_p20-p50,-2056171551
106,uniform_p20-uniform,933962634
107,uniform_p20-reduced,-1990393452
108,uniform_p50-m0.1,-949359085
109,uniform_p50-m1,-1033388975
110,uniform_p50-m10,-1970287105
111,uniform_p50-m20,-1970287074
112,uniform_p50-m50,-1970286981
113,uniform_p50-p0.1,-949269712
114,uniform_p50-p1,-1033388882
115,uniform_p50-p10,-1970284222
116,uniform_p50-p20,-1970284191
117,uniform_p50-p50,-1970284098
118,uniform_p50-uniform,344422119
119,uniform_p50-reduced,1715033329
120,uniform_uniform-m0.1,-1721601142
121,uniform_uniform-m1,1289827208
122,uniform_uniform-m10,1329937832
123,uniform_uniform-m20,1329937863
124,uniform_uniform-m50,1329937956
125,uniform_uniform-p0.1,-1721511769
126,uniform_uniform-p1,1289827301
127,uniform_uniform-p10,1329940715
128,uniform_uniform-p20,1329940746
129,uniform_uniform-p50,1329940839
130,uniform_uniform-uniform,-1673860592
131,uniform_uniform-reduced,-303249382
132,uniform_reduced-m0.1,-1824797760
133,uniform_reduced-m1,914301246
134,uniform_reduced-m10,-1721432398
135,uniform_reduced-m20,-1721432367
136,uniform_reduced-m50,-1721432274
137,uniform_reduced-p0.1,-1824708387
138,uniform_reduced-p1,914301339
139,uniform_reduced-p10,-1721429515
140,uniform_reduced-p20,-1721429484
141,uniform_reduced-p50,-1721429391
142,uniform_reduced-uniform,-807723494
143,uniform_reduced-reduced,562887716
144,p50_p50-m50,-1836295982
145,slowcontrol_uniform-slowcontrol,-1124735712
146,uniform_slowcontrol-uniform,-931221992
